Id:ID;Type;Kind;Code;Range;Location;Value;Raw;Async;Label:LABEL;SemanticType
45;exit;;;;;;;;ASTNode;
46;exit;;;;;;;;ASTNode;
1;Program;;;[121,339];{start:{line:2,column:0},end:{line:12,column:21}};;;;ASTNode;
2;VariableDeclaration;const;;[121,156];{start:{line:2,column:0},end:{line:2,column:35}};;;;ASTNode;
3;VariableDeclarator;;=;[127,155];{start:{line:2,column:6},end:{line:2,column:34}};;;;ASTNode;
4;Identifier;;express;[127,134];{start:{line:2,column:6},end:{line:2,column:13}};;;;ASTNode;
5;CallExpression;;;[137,155];{start:{line:2,column:16},end:{line:2,column:34}};;;;ASTNode;
6;Identifier;;require;[137,144];{start:{line:2,column:16},end:{line:2,column:23}};;;;ASTNode;
7;Literal;;;[145,154];{start:{line:2,column:24},end:{line:2,column:33}};express;'express';;ASTNode;
8;FunctionDeclaration;;;[158,225];{start:{line:4,column:0},end:{line:6,column:1}};;;false;ASTNode;
9;Identifier;;createUser;[167,177];{start:{line:4,column:9},end:{line:4,column:19}};;;;ASTNode;
10;Identifier;;req;[178,181];{start:{line:4,column:20},end:{line:4,column:23}};;;;ASTNode;
11;Identifier;;res;[183,186];{start:{line:4,column:25},end:{line:4,column:28}};;;;ASTNode;
12;BlockStatement;;;[188,225];{start:{line:4,column:30},end:{line:6,column:1}};;;;ASTNode;
13;ExpressionStatement;;;[192,223];{start:{line:5,column:2},end:{line:5,column:33}};;;;ASTNode;
14;CallExpression;;;[192,222];{start:{line:5,column:2},end:{line:5,column:32}};;;;ASTNode;
15;MemberExpression;;;[192,202];{start:{line:5,column:2},end:{line:5,column:12}};;;;ASTNode;
16;Identifier;;users;[192,197];{start:{line:5,column:2},end:{line:5,column:7}};;;;ASTNode;
17;Identifier;;find;[198,202];{start:{line:5,column:8},end:{line:5,column:12}};;;;ASTNode;
18;ObjectExpression;;;[203,221];{start:{line:5,column:13},end:{line:5,column:31}};;;;ASTNode;
19;VariableDeclaration;const;;[227,249];{start:{line:8,column:0},end:{line:8,column:22}};;;;ASTNode;
20;VariableDeclarator;;=;[233,248];{start:{line:8,column:6},end:{line:8,column:21}};;;;ASTNode;
21;Identifier;;app;[233,236];{start:{line:8,column:6},end:{line:8,column:9}};;;;ASTNode;
22;CallExpression;;;[239,248];{start:{line:8,column:12},end:{line:8,column:21}};;;;ASTNode;
23;Identifier;;express;[239,246];{start:{line:8,column:12},end:{line:8,column:19}};;;;ASTNode;
24;VariableDeclaration;const;;[250,282];{start:{line:9,column:0},end:{line:9,column:32}};;;;ASTNode;
25;VariableDeclarator;;=;[256,281];{start:{line:9,column:6},end:{line:9,column:31}};;;;ASTNode;
26;Identifier;;router;[256,262];{start:{line:9,column:6},end:{line:9,column:12}};;;;ASTNode;
27;CallExpression;;;[265,281];{start:{line:9,column:15},end:{line:9,column:31}};;;;ASTNode;
28;MemberExpression;;;[265,279];{start:{line:9,column:15},end:{line:9,column:29}};;;;ASTNode;
29;Identifier;;express;[265,272];{start:{line:9,column:15},end:{line:9,column:22}};;;;ASTNode;
30;Identifier;;Router;[273,279];{start:{line:9,column:23},end:{line:9,column:29}};;;;ASTNode;
31;ExpressionStatement;;;[284,317];{start:{line:11,column:0},end:{line:11,column:33}};;;;ASTNode;
32;CallExpression;;;[284,316];{start:{line:11,column:0},end:{line:11,column:32}};;;;ASTNode;
33;MemberExpression;;;[284,295];{start:{line:11,column:0},end:{line:11,column:11}};;;;ASTNode;
34;Identifier;;router;[284,290];{start:{line:11,column:0},end:{line:11,column:6}};;;;ASTNode;
35;Identifier;;post;[291,295];{start:{line:11,column:7},end:{line:11,column:11}};;;;ASTNode;
36;Literal;;;[296,303];{start:{line:11,column:12},end:{line:11,column:19}};/user;'/user';;ASTNode;
37;Identifier;;createUser;[305,315];{start:{line:11,column:21},end:{line:11,column:31}};;;;ASTNode;
38;ExpressionStatement;;;[318,339];{start:{line:12,column:0},end:{line:12,column:21}};;;;ASTNode;
39;CallExpression;;;[318,338];{start:{line:12,column:0},end:{line:12,column:20}};;;;ASTNode;
40;MemberExpression;;;[318,325];{start:{line:12,column:0},end:{line:12,column:7}};;;;ASTNode;
41;Identifier;;app;[318,321];{start:{line:12,column:0},end:{line:12,column:3}};;;;ASTNode;
42;Identifier;;use;[322,325];{start:{line:12,column:4},end:{line:12,column:7}};;;;ASTNode;
43;Literal;;;[326,329];{start:{line:12,column:8},end:{line:12,column:11}};/;'/';;ASTNode;
44;Identifier;;router;[331,337];{start:{line:12,column:13},end:{line:12,column:19}};;;;ASTNode;
