Id:ID¿Type¿IdentifierName¿Raw¿InternalStructure¿Location¿Label:LABEL
0¿Program¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":8,"column":19}}¿Program
1¿VariableDeclarator¿f¿¿¿{"start":{"line":1,"column":6},"end":{"line":7,"column":1}}¿VariableDeclarator
2¿FunctionExpression¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":7,"column":1}}¿FunctionExpression
3¿Identifier¿y¿¿{"type":"symbolic","context":29}¿{"start":{"line":1,"column":20},"end":{"line":1,"column":21}}¿Identifier
4¿VariableDeclarator¿x¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":14}}¿VariableDeclarator
5¿ObjectExpression¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":14}}¿ObjectExpression
6¿ExpressionStatement¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":12}}¿ExpressionStatement
7¿AssignmentExpression¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":11}}¿AssignmentExpression
8¿MemberExpression¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":7}}¿MemberExpression
9¿Identifier¿x¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":5}}¿Identifier
10¿Identifier¿f¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":7}}¿Identifier
11¿Identifier¿y¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":11}}¿Identifier
12¿VariableDeclarator¿v1¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":18}}¿VariableDeclarator
13¿MemberExpression¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":18}}¿MemberExpression
14¿Identifier¿x¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":16}}¿Identifier
15¿Identifier¿f¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":18}}¿Identifier
16¿VariableDeclarator¿v2¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":23}}¿VariableDeclarator
17¿CallExpression¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":23}}¿CallExpression
18¿Identifier¿eval¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":19}}¿Identifier
19¿Identifier¿v1¿¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":22}}¿Identifier
20¿ReturnStatement¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":14}}¿ReturnStatement
21¿Identifier¿v2¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":13}}¿Identifier
22¿BlockStatement¿¿¿¿{"start":{"line":1,"column":23},"end":{"line":7,"column":1}}¿BlockStatement
23¿ExpressionStatement¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":19}}¿ExpressionStatement
24¿AssignmentExpression¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":18}}¿AssignmentExpression
25¿MemberExpression¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":14}}¿MemberExpression
26¿Identifier¿module¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":6}}¿Identifier
27¿Identifier¿exports¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":14}}¿Identifier
28¿Identifier¿f¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":18}}¿Identifier
29¿CFG_F_START¿__main__¿¿¿¿CFG_F_START
30¿CFG_F_END¿__main__¿¿¿¿CFG_F_END
31¿CFG_F_START¿2_anon¿¿¿¿CFG_F_START
32¿CFG_F_END¿2_anon¿¿¿¿CFG_F_END
33¿TAINT_SOURCE¿¿¿¿¿TAINT_SOURCE
34¿PDG_OBJECT¿f-o1¿¿¿¿PDG_OBJECT
35¿PDG_OBJECT¿this-o2¿¿¿¿PDG_OBJECT
36¿PDG_OBJECT¿y-o3¿¿¿¿PDG_OBJECT
37¿PDG_OBJECT¿x-o4¿¿¿¿PDG_OBJECT
38¿PDG_OBJECT¿x-o5¿¿¿¿PDG_OBJECT
39¿PDG_OBJECT¿v2-o6¿¿¿¿PDG_OBJECT
