Id:ID¿Type¿IdentifierName¿Location¿Label:LABEL
0¿Program¿¿{"start":{"line":1,"column":0},"end":{"line":9,"column":19}}¿Program
1¿VariableDeclarator¿read¿{"start":{"line":1,"column":6},"end":{"line":3,"column":1}}¿VariableDeclarator
2¿FunctionExpression¿¿{"start":{"line":1,"column":13},"end":{"line":3,"column":1}}¿FunctionExpression
3¿ReturnStatement¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":17}}¿ReturnStatement
4¿Literal¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":16}}¿Literal
5¿BlockStatement¿¿{"start":{"line":1,"column":25},"end":{"line":3,"column":1}}¿BlockStatement
6¿VariableDeclarator¿f¿{"start":{"line":4,"column":6},"end":{"line":8,"column":1}}¿VariableDeclarator
7¿FunctionExpression¿¿{"start":{"line":4,"column":10},"end":{"line":8,"column":1}}¿FunctionExpression
8¿VariableDeclarator¿s¿{"start":{"line":5,"column":10},"end":{"line":5,"column":20}}¿VariableDeclarator
9¿CallExpression¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":20}}¿CallExpression
10¿Identifier¿read¿{"start":{"line":5,"column":14},"end":{"line":5,"column":18}}¿Identifier
11¿VariableDeclarator¿v1¿{"start":{"line":6,"column":10},"end":{"line":6,"column":22}}¿VariableDeclarator
12¿CallExpression¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22}}¿CallExpression
13¿Identifier¿eval¿{"start":{"line":6,"column":15},"end":{"line":6,"column":19}}¿Identifier
14¿Identifier¿s¿{"start":{"line":6,"column":20},"end":{"line":6,"column":21}}¿Identifier
15¿ReturnStatement¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":14}}¿ReturnStatement
16¿Identifier¿v1¿{"start":{"line":7,"column":11},"end":{"line":7,"column":13}}¿Identifier
17¿BlockStatement¿¿{"start":{"line":4,"column":22},"end":{"line":8,"column":1}}¿BlockStatement
18¿ExpressionStatement¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":19}}¿ExpressionStatement
19¿AssignmentExpression¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":18}}¿AssignmentExpression
20¿MemberExpression¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":14}}¿MemberExpression
21¿Identifier¿module¿{"start":{"line":9,"column":0},"end":{"line":9,"column":6}}¿Identifier
22¿Identifier¿exports¿{"start":{"line":9,"column":7},"end":{"line":9,"column":14}}¿Identifier
23¿Identifier¿f¿{"start":{"line":9,"column":17},"end":{"line":9,"column":18}}¿Identifier
24¿CFG_F_START¿__main__¿¿CFG_F_START
25¿CFG_F_END¿__main__¿¿CFG_F_END
26¿CFG_F_START¿2_anon¿¿CFG_F_START
27¿CFG_F_END¿2_anon¿¿CFG_F_END
28¿CFG_F_START¿7_anon¿¿CFG_F_START
29¿CFG_F_END¿7_anon¿¿CFG_F_END
30¿PDG_OBJECT¿read-o1¿¿PDG_OBJECT
31¿PDG_OBJECT¿f-o2¿¿PDG_OBJECT
32¿PDG_OBJECT¿s-o3¿¿PDG_OBJECT
33¿PDG_OBJECT¿v1-o4¿¿PDG_OBJECT
